Produto;Preço
Placa-mãe Asus P/amd Am4 B550m-plus Tuf Gaming 4xddr4 Matx;R$ 1.089,90
Placa Mãe Gigabyte B550m-ds3h, Amd Am4, Micro Atx, Ddr4;R$ 832,00
Placa-mãe Gigabyte P/ Amd Am4 B450m Gaming 2xddr4 Matx;R$ 722,70
Placa-mãe Gigabyte Amd Am4 B550m Aorus Elite 4x Ddr4 Matx;R$ 967,00
Placa Mae Gigabyte B550m Aorus Elite Am4 Ddr4 Hdmi M-atx;R$ 1.119,00
Placa-mãe Gigabyte Amd Am4 B550m Aorus Elite 4x Ddr4 Matx;R$ 1.079,90
Kit Amd Ryzen 5 5500 + Gigabyte B550m Ds3h;R$ 1.990,00
Placa Mãe Gigabyte B550m Aorus Elite Am4 Ddr4 Hdmi Matx;R$ 1.122,53
Placa Mae Gigabyte B550m Aorus Elite Am4 Ddr4 Hdmi M-atx;R$ 1.005,00
Kit Amd Ryzen 5 3600 + Placa Mãe Gigabyte B550m Aorus Elite;R$ 1.889,00
Kit Amd Ryzen 5 5500 + Gigabyte B550m Ds3h C/ Nf;R$ 1.799,00
Placa-mãe Asus Tuf Gaming B550m-plus, Amd B550, Matx, Ddr4;R$ 1.375,00
Placa-mãe Am4 Tuf Gaming B550m-plus Asus Matx Ddr4;R$ 1.560,00
Kit Amd Ryzen 5 5600g + Gigabyte B550m Ds3h;R$ 2.320,00
Placa Mae Biostar B550mh Am4 Ddr4 Matx Biostar;R$ 703,00
Placa Mãe Gigabyte B550m Aorus Elite, Amd Am4 Matx, 4xddr4;R$ 1.026,00
Placa Mae Amd Gigabyte B550m Aorus Elite Ddr4 Am4 Box Brasil;R$ 1.099,00
Placa Mãe Asus Tuf Gaming B550m-plus Amd Am4 Ddr4 Ryzen B550;R$ 1.449,90
Placa Mãe Asrock B550m-hdv Amd Chipset B550 Am4 Matx Ddr4;R$ 719,90
Kit Asus Tuf Gaming B550m-plus + Ryzen R5 5600g + 16gb 2666;R$ 2.740,00
Kit Amd Ryzen 7 5700x + B550m Aorus Elite + 2x 16gb 2666mhz;R$ 3.360,00
Kit Amd Ryzen 7 5800x + Gigabyte B550m Aorus Elite + 32 Gb;R$ 3.600,00
Kit Amd Ryzen 5 5600g + Gigabyte B550m Ds3h + 32gb Ddr4 3200;R$ 2.970,00
Placa Mãe All In One Lenovo Ideacentre B550 La A071p;R$ 548,79
Kit Asus Tuf Gaming B550m-plus + Ryzen R7 5700x;R$ 2.870,00
Placa-mãe Gigabyte Amd Am4 B550m Aorus Elite 4x Ddr4 Matx;R$ 1.171,86
Kit Amd Ryzen 5 5500 + Gigabyte B550m Aorus Elite + 16 Gb;R$ 2.180,00
Placa-mãe Gigabyte Amd Am4 B550m Aorus Elite 4x Ddr4 Matx;R$ 1.104,60
Placa Mãe Gigabyte Aorus B550 Elite V2 Am4 - 9mb55ael2-00-10;R$ 1.598,98
Kit Amd Ryzen 5 5600g + Gigabyte B550m Ds3h +16 Gb Ddr4 2666;R$ 2.720,00
Kit Amd Ryzen 5 5600x + Gigabyte B550m Aorus Elite + 32 Gb;R$ 3.100,00
Kit Amd Ryzen 5 5600g + Gigabyte B550m Aorus Elite + 8 Gb;R$ 2.310,00
Placa Mãe Asrock B550 Steel Legend Am4/ddr4/hdmi/displaypor;R$ 1.900,00
Kit Amd Ryzen 5 5600g + Gigabyte B550m Aorus Elite + 16 Gb;R$ 2.510,00
Kit Amd Ryzen 5 5600g + Gigabyte B550m Aorus Elite + 32 Gb;R$ 2.760,00
Kit Amd Ryzen 5 5600g + Gigabyte B550m Aorus Elite;R$ 2.110,00
Espelho Placa Mãe Gigabyte B550 Ds3h;R$ 18,90
Kit Amd Ryzen 5 5600g + Gigabyte B550m Ds3h;R$ 1.899,00
Placa Mae Gigabyte B550m Aorus Elite Am4 Ddr4 Hdmi;R$ 1.082,00
Kit Amd Ryzen 7 5700x + B550m Aorus Elite + 16gb 2666mhz;R$ 3.080,00
Placa Mãe Gigabyte B550m Aorus Elite Matx Amd Am4;R$ 1.102,24
Asus Prime B550m-a Amd B550 Socket Am4 Micro Atx;R$ 1.105,00
Placa Mãe Gigabyte B550 Aorus Elite V2 Am4 Ddr4;R$ 1.690,00
Kit Amd Ryzen 7 5700x + B550m Aorus Elite + 16gb 3200mhz;R$ 3.399,00
Kit Amd Ryzen 7 5700x + Gigabyte B550m Aorus Elite + 32 Gb;R$ 3.290,00
Kit Amd Ryzen 9 5900x + Gigabyte B550m Aorus Elite;R$ 3.940,00
Kit Amd Ryzen 5 5600g + Gigabyte B550m Ds3h + 16gb 3600mhz;R$ 2.288,00
Kit Amd Ryzen 5 5500 + Gigabyte B550m Aorus Elite + 32 Gb;R$ 2.430,00
Kit Asus Tuf Gaming B550m-plus + Ryzen R5 5600g;R$ 2.340,00
Placa-mãe Asus Rog Strix B550-e Gaming Amd Am4 Atx Ddr4;R$ 2.450,00
